,Origin_location to Destination_location,Airline_Name,Airline_number,Ticket Cost,Timing,Direct or Layover
0,Delhi to Bangalore,IndiGo,"6E 2431, 6E 909","₹ 9,734
per traveller",05 h 45 m,Lay over in india
1,Delhi to Bangalore,IndiGo,6E 6797,"₹ 11,519
per traveller",02 h 55 m,Non stop
2,Delhi to Bangalore,AirAsia,"I5 745, I5 975","₹ 11,565
per traveller",14 h 20 m,Lay over in india
3,Delhi to Bangalore,IndiGo,6E 6383,"₹ 12,248
per traveller",02 h 55 m,Non stop
4,Delhi to Bangalore,IndiGo,6E 2514,"₹ 12,248
per traveller",02 h 55 m,Non stop
5,Delhi to Bangalore,Air India,"AI 441, AI 621","₹ 12,319
per traveller",12 h 35 m,Lay over in india
6,Delhi to Bangalore,Vistara,UK 819,"₹ 13,021
per traveller",02 h 35 m,Non stop
7,Delhi to Bangalore,IndiGo,"6E 2141, 6E 6803","₹ 13,311
per traveller",09 h,Lay over in india
8,Delhi to Bangalore,IndiGo,6E 781,"₹ 14,498
per traveller",03 h,Non stop
9,Delhi to Bangalore,SpiceJet,SG 8143,"₹ 14,741
per traveller",02 h 45 m,Non stop
10,Delhi to Bangalore,AirAsia,"I5 548, I5 1426","₹ 14,764
per traveller",05 h 30 m,Lay over in india
11,Delhi to Bangalore,IndiGo,6E 6612,"₹ 15,260
per traveller",02 h 45 m,Non stop
12,Delhi to Bangalore,IndiGo,6E 5608,"₹ 15,260
per traveller",02 h 45 m,Non stop
13,Delhi to Bangalore,AirAsia,"I5 549, I5 992","₹ 15,441
per traveller",07 h 35 m,Lay over in india
14,Delhi to Bangalore,Air India,AI 502,"₹ 15,583
per traveller",02 h 50 m,Non stop
15,Delhi to Bangalore,Air India,AI 815,"₹ 15,583
per traveller",03 h,Non stop
16,Delhi to Bangalore,Air India,AI 512,"₹ 15,583
per traveller",03 h 20 m,Non stop
17,Delhi to Bangalore,Air India,AI 504,"₹ 15,583
per traveller",02 h 55 m,Non stop
18,Delhi to Bangalore,Vistara,UK 817,"₹ 15,646
per traveller",02 h 40 m,Non stop
19,Delhi to Bangalore,Vistara,UK 813,"₹ 15,646
per traveller",02 h 50 m,Non stop
20,Delhi to Bangalore,AirAsia,"I5 330, I5 975","₹ 15,950
per traveller",05 h 10 m,Lay over in india
21,Delhi to Bangalore,Akasa Air,QP 1350,"₹ 17,248
per traveller",02 h 35 m,Non stop
22,Delhi to Bangalore,Akasa Air,QP 1409,"₹ 17,248
per traveller",03 h 50 m,Lay over in india
23,Delhi to Bangalore,AirAsia,"I5 799, I5 673","₹ 17,526
per traveller",06 h 30 m,Lay over in india
24,Delhi to Bangalore,IndiGo,6E 6622,"₹ 17,850
per traveller",02 h 55 m,Non stop
25,Delhi to Bangalore,IndiGo,6E 2338,"₹ 17,850
per traveller",02 h 55 m,Non stop
26,Delhi to Bangalore,IndiGo,6E 6565,"₹ 17,850
per traveller",02 h 45 m,Non stop
27,Delhi to Bangalore,Air India,AI 514,"₹ 18,344
per traveller",02 h 55 m,Non stop
28,Delhi to Bangalore,Air India,AI 506,"₹ 18,344
per traveller",02 h 50 m,Non stop
29,Delhi to Bangalore,Vistara,UK 809,"₹ 18,407
per traveller",02 h 50 m,Non stop
30,Delhi to Bangalore,Vistara,UK 807,"₹ 18,407
per traveller",02 h 40 m,Non stop
31,Delhi to Bangalore,AirAsia,"I5 764, I5 819","₹ 19,520
per traveller",04 h 20 m,Lay over in india
32,Delhi to Bangalore,AirAsia,I5 740,"₹ 19,950
per traveller",02 h 50 m,Non stop
33,Delhi to Bangalore,AirAsia,I5 1534,"₹ 19,950
per traveller",02 h 40 m,Non stop
34,Delhi to Bangalore,IndiGo,6E 2487,"₹ 20,233
per traveller",02 h 35 m,Non stop
35,Delhi to Bangalore,IndiGo,6E 2302,"₹ 20,233
per traveller",02 h 45 m,Non stop
36,Delhi to Bangalore,IndiGo,6E 2131,"₹ 20,233
per traveller",02 h 50 m,Non stop
37,Delhi to Bangalore,SpiceJet,SG 534,"₹ 21,095
per traveller",02 h 40 m,Non stop
